ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_manufacturer)","Attribute Value (pa_manufacturer)","Attribute In Variations (pa_manufacturer)","Attribute Is Visible (pa_manufacturer)","Attribute Is Taxonomy (pa_manufacturer)","Attribute Name (pa_phone_model)","Attribute Value (pa_phone_model)","Attribute In Variations (pa_phone_model)","Attribute Is Visible (pa_phone_model)","Attribute Is Taxonomy (pa_phone_model)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Product Type",Ετικέτες,"Κατηγορίες προϊόντων","Ετικέτες προϊόντος","Stock statuses","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",old_erp_id,old_password,old_salt,newssletter,tel
38823,"Διάφορα Κουτιά Συσκευών",,,2019-07-02,product,https://staging.citisaid.com/?post_type=product&p=38823,0,AS-00802,0,0,,instock,50,,0,Manufacturer,Xiaomi,no,yes,yes,"Phone model",,no,no,no,,,,,,,,,simple,visible,"Αξεσουάρ>Wearables - Ρολόγια>Xiaomi",,"Κατόπιν παραγγελίας",visible,draft,0,,,,,diafora-koytia-syskeywn,,,0,0,closed,closed,2019-07-04,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:1:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38826,"Γνήσια Ακουστικά SAMSUNG AKG EO-IG955 GALAXY S10 / S10 Plus Μαύρο",,,2019-07-02,product,https://staging.citisaid.com/product/%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/akoystika-%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/samsung-akoystika-%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/gnhsia-akoystika-samsung-akg-eo-ig955-galaxy-s10-s10-plus-mayro/,0,AS-00803,9.9,9.9,,onbackorder,0,,0,Manufacturer,Samsung,no,yes,yes,"Phone model",,no,no,no,,https://staging.citisaid.com/var/uploads//2019/07/00803.jpeg,b226dde6-4f6c-46b5-943e-2455fcca7c84-1dcc87ba004fc9c868333fe,,,,https://staging.citisaid.com/var/uploads//2019/07/00803.jpeg,,simple,visible,Αξεσουάρ>Ακουστικά>Samsung,,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-akoystika-samsung-akg-eo-ig955-galaxy-s10-s10-plus-mayro,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:1:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38827,"Γνήσια Ακουστικά SAMSUNG AKG EO-IG955 GALAXY S10 / S10 Plus Άσπρο",,,2019-07-02,product,https://staging.citisaid.com/product/%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/akoystika-%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/samsung-akoystika-%ce%b1%ce%be%ce%b5%cf%83%ce%bf%cf%85%ce%ac%cf%81/gnhsia-akoystika-samsung-akg-eo-ig955-galaxy-s10-s10-plus-aspro/,0,AS-00804,9.9,9.9,,onbackorder,0,,0,Manufacturer,Samsung,no,yes,yes,"Phone model",,no,no,no,,https://staging.citisaid.com/var/uploads//2019/07/00804.jpeg,r29123-1000jpg,,,,https://staging.citisaid.com/var/uploads//2019/07/00804.jpeg,,simple,visible,Αξεσουάρ>Ακουστικά>Samsung,,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-akoystika-samsung-akg-eo-ig955-galaxy-s10-s10-plus-aspro,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:1:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38828,"Γνήσια Μπαταρία Huawei Mate 20X HB3973A5ECW",,,2019-07-02,product,https://staging.citisaid.com/product/antallaktika/huawei/mpataries-kinhtwn-huawei/gnhsia-mpataria-huawei-mate-20x-hb3973a5ecw/,0,CA-06464,29,29,,instock,5,,0,Manufacturer,Huawei,no,yes,yes,"Phone model","Mate 8",no,yes,yes,,https://staging.citisaid.com/var/uploads//2019/07/ca-06464.png,1200x800png,,,,https://staging.citisaid.com/var/uploads//2019/07/ca-06464.png,,simple,visible,"Ανταλλακτικά>Huawei>Μπαταρίες Κινητών",,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-mpataria-huawei-mate-20x-hb3973a5ecw,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:2:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_phone-model"";a:6:{s:4:""name"";s:14:""pa_phone-model"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38829,"Γνήσια Μπαταρία Samsung EB-BJ805ABE Galaxy A6 / A6 Plus (2018)",,,2019-07-02,product,https://staging.citisaid.com/product/antallaktika/samsung/mpataries-kinhtwn-samsung/gnhsia-mpataria-samsung-eb-bj805abe-galaxy-a6-a6-plus-2018/,0,CA-06465,12,12,,instock,10,,0,Manufacturer,Samsung,no,yes,yes,"Phone model","A320 (2017)",no,yes,yes,,https://staging.citisaid.com/var/uploads//2019/07/ca-06465.jpeg,samsung-galaxy-a6-plus-2018-battery-eb-bj805abe-3500-mah-li,,,,https://staging.citisaid.com/var/uploads//2019/07/ca-06465.jpeg,,simple,visible,"Ανταλλακτικά>Samsung>Μπαταρίες Κινητών",,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-mpataria-samsung-eb-bj805abe-galaxy-a6-a6-plus-2018,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:2:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_phone-model"";a:6:{s:4:""name"";s:14:""pa_phone-model"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38830,"Γνήσια Μπαταρία Samsung EB-BA920ABE Galaxy A9 (2017)",,,2019-07-02,product,https://staging.citisaid.com/product/antallaktika/samsung/mpataries-kinhtwn-samsung/gnhsia-mpataria-samsung-eb-ba920abe-galaxy-a9-2017/,0,CA-06466,14.5,14.5,,instock,10,,0,Manufacturer,Samsung,no,yes,yes,"Phone model","A320 (2017)",no,yes,yes,,https://staging.citisaid.com/var/uploads//2019/07/ca-06466.jpeg|https://staging.citisaid.com/var/uploads//2019/07/ca-06466.jpeg,xzua8p5eqbg5d1pvqzj9-ba920-largejpg|batterie-originale-samsung-a920-galaxy-a9-2018-eb-ba920abe-p,|,|,|,https://staging.citisaid.com/var/uploads//2019/07/ca-06466.jpeg,,simple,visible,"Ανταλλακτικά>Samsung>Μπαταρίες Κινητών",,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-mpataria-samsung-eb-ba920abe-galaxy-a9-2017,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:2:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_phone-model"";a:6:{s:4:""name"";s:14:""pa_phone-model"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38834,"Γνήσια Μπαταρία Samsung EB-BG610ABE Galaxy J4 Plus (2018) / J6 Plus (2018) J7 Prime",,,2019-07-02,product,https://staging.citisaid.com/product/antallaktika/samsung/mpataries-kinhtwn-samsung/gnhsia-mpataria-samsung-eb-bg610abe-galaxy-j4-plus-2018-j6-plus-2018-j7-prime/,0,CA-06467,19.9,19.9,,instock,10,,0,Manufacturer,Samsung,no,yes,yes,"Phone model",,no,no,no,,https://staging.citisaid.com/var/uploads//2019/07/ca-06467.jpeg,samsung-eb-bg610abe-3300mah-gia-samsung-galaxy-j4-plus-2018,,,,https://staging.citisaid.com/var/uploads//2019/07/ca-06467.jpeg,,simple,visible,"Ανταλλακτικά>Samsung>Μπαταρίες Κινητών",,Εξαντλήθηκε,visible,publish,0,,,,,gnhsia-mpataria-samsung-eb-bg610abe-galaxy-j4-plus-2018-j6-plus-2018-j7-prime,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},"a:1:{s:15:""pa_manufacturer"";a:6:{s:4:""name"";s:15:""pa_manufacturer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}",3.5.7,,a:0:{},0,0,,,,,
38912,"Σκληρός Δίσκος SSD M.2 ITB Samsung 970 Evo Plus For Business PCI-ENVMe",,,2019-07-03,product,https://staging.citisaid.com/?post_type=product&p=38912,0,CA-06468,0,0,,instock,150,,0,Manufacturer,,no,no,no,"Phone model",,no,no,no,,,,,,,,,simple,visible,Τηλέφωνα,,Εξαντλήθηκε,visible,draft,0,,,,,sklhros-diskos-ssd-m2-itb-samsung-970-evo-plus-business-pci-envme,,,0,0,closed,closed,2019-07-04,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},a:0:{},3.5.7,,a:0:{},0,0,,,,,
38975,"XIAOMI MI 9 64GB BLACK",,,2019-07-03,product,https://staging.citisaid.com/?post_type=product&p=38975,0,004087,0,0,,instock,0,,0,Manufacturer,,no,no,no,"Phone model",,no,no,no,,,,,,,,,simple,visible,Τηλέφωνα,,Εξαντλήθηκε,visible,draft,0,,,,,xiaomi-mi-9-64gb-black,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},a:0:{},3.5.7,,a:0:{},0,0,,,,,
39022,"SONY XPERIA XZ1 64GB",,,2019-07-04,product,https://staging.citisaid.com/?post_type=product&p=39022,0,004088,0,0,,instock,0,,0,Manufacturer,,no,no,no,"Phone model",,no,no,no,,,,,,,,,simple,visible,Τηλέφωνα,,Εξαντλήθηκε,visible,draft,0,,,,,sony-xperia-xz1-64gb,,,0,0,closed,closed,2019-07-11,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,yes,taxable,vat-24,,a:0:{},a:0:{},3.5.7,,a:0:{},0,0,,,,,
